"Setor","Quantidade_de_Acoes_todas_acoes","Quantidade_de_Acoes_49_acoes","porcentagem"
"Const e Transp / Constr e Engenh",6,6,100
"Cons N Básico / Alimentos Processados",4,4,100
"Mats Básicos / Sid Metalurgia",4,4,100
"Bens Indls / Mat Transporte",2,2,100
"Consumo Cíclico / Comércio",2,2,100
"Mats Básicos / Mineração",2,2,100
"Petróleo, Gás e Biocombustíveis",2,2,100
"Telecomunicação / Telefonia Fixa",2,2,100
"Cons N Cíclico / Bebidas",1,1,100
"Cons N Cíclico / Fumo",1,1,100
"Cons N Cíclico / Pr Pessoal Limp",1,1,100
"Consumo Cíclico / Tecid Vest Calç",1,1,100
"Mats Básicos / Químicos",1,1,100
"Telecomunicação / Telefonia Móvel",1,1,100
"Utilidade Públ / Água Saneamento",1,1,100
"Utilidade Públ / Energ Elétrica",10,9,90
"Const e Transp / Transporte",4,3,75
"Financ e Outros / Interms Financs",6,4,66.6666666666667
"Mats Básicos / Madeira e Papel",4,2,50
"Financ e Outros / Explor Imóveis",2,1,50
"Financ e Outros / Holdings Divers",2,1,50
"Diversos",3,1,33.3333333333333
"Financeiro e Outros/Serviços Financeiros Diversos",3,0,0
"Cons N Cíclico / Comércio Distr.",1,0,0
"Cons N Cíclico/Diversos",1,0,0
"Consumo não Cíclico/Saúde",1,0,0
"Financ e Outros / Previd Seguros",1,0,0
