"Setor","Quantidade_de_Acoes_total","Quantidade_de_Acoes","porcentagem"
"Const e Transp / Constr e Engenh",6,6,100
"Cons N Básico / Alimentos Processados",4,4,100
"Bens Indls / Mat Transporte",2,2,100
"Cons N Cíclico / Bebidas",1,1,100
"Cons N Cíclico / Fumo",1,1,100
"Cons N Cíclico / Pr Pessoal Limp",1,1,100
"Consumo Cíclico / Tecid Vest Calç",1,1,100
"Utilidade Públ / Água Saneamento",1,1,100
"Utilidade Públ / Energ Elétrica",10,6,60
"Financ e Outros / Interms Financs",6,3,50
"Const e Transp / Transporte",4,2,50
"Mats Básicos / Madeira e Papel",4,2,50
"Consumo Cíclico / Comércio",2,1,50
"Financ e Outros / Explor Imóveis",2,1,50
"Mats Básicos / Mineração",2,1,50
"Petróleo, Gás e Biocombustíveis",2,1,50
"Diversos",3,1,33.3333333333333
"Mats Básicos / Sid Metalurgia",4,1,25
"Financeiro e Outros/Serviços Financeiros Diversos",3,0,0
"Financ e Outros / Holdings Divers",2,0,0
"Telecomunicação / Telefonia Fixa",2,0,0
"Cons N Cíclico / Comércio Distr.",1,0,0
"Cons N Cíclico/Diversos",1,0,0
"Consumo não Cíclico/Saúde",1,0,0
"Financ e Outros / Previd Seguros",1,0,0
"Mats Básicos / Químicos",1,0,0
"Telecomunicação / Telefonia Móvel",1,0,0
